INTERACTION_TYPE,INTERACTION_CATEGORY,VENUE,CREATE_DATE,INTERACTION_VENUE,RESIDENCY_PROGRAM,INITIATIVE,PRODUCT_NAME,PRODUCT__GROUP,DPO_COMPOUND,Customer Type,INITIATIVE__CATEGORY,MSL_ID,MSL,CALL_ID,THERAPY_NAME,CUSTOMER_TYPE,NAME,TOTAL_CLINICAL_PROGRAM_ATTENDEES,IS_PARENT__C,CLINICAL_INTERACTION_DETAIL_ID,INITIATIVES,INTERACTION_NAME,BIFURCATION
Face to Face,In-Person,Reactive,18-10-2023,Off-Site,TRUE,Initiative 3,Product 1,Product Group 3,Compound 4,Others,Elite Launch Support,07B881B3,Merry,124f0984655046948b,THERAPY 1,KOL,WCT-410835,13,FALSE,e99FT258526,Initiative 11,IJ343530,COMM
Video Conferencing,Online,Other,03-03-2025,Off-Site,TRUE,Initiative 1,Product 1,Product Group 3,Compound 1,KOL,FAS BTX Differentiations,15C6C284,Steve,83a5e8f41be54af4b2,THERAPY 3,NON-KOL,WCT-410050,4,TRUE,e99FT616230,Initiative 1,IJ655907,MED
Digital,Call,Other,24-11-2024,Clinical Program Reactive,TRUE,Initiative 5,Product 2,Product Group 1,Compound 4,KOL,Portfolio Management,687AC2C6,Morgan,74731b3bd79f4d3c88,THERAPY 3,Non KOL,WCT-410380,22,FALSE,e99FT451106,Initiative 12,IJ980742,MED
Telephone,Mail,Other,30-09-2023,Clinical Program Proactive,TRUE,Initiative 7,Product 2,Product Group 2,Compound 2,Others,Portfolio Management,8BA79B55,Mathew,f74d51f8b8854b44a0,THERAPY 3,Non KOL,WCT-410997,22,TRUE,e99FT267186,Initiative 2,IJ720119,MED
Telephone,Call,Proactive,05-07-2024,Clinical Program Reactive,TRUE,Initiative 3,Product 1,Product Group 2,Compound 5,KOL,Study Support,E21CFBB8,Glen,cffe6b0174fa41099b,THERAPY 3,NON-KOL,WCT-410303,10,FALSE,e99FT873604,Initiative 7,IJ387202,COMM
Digital,In-Person,Other,14-07-2023,Clinical Program Reactive,FALSE,Initiative 7,Product 2,Product Group 2,Compound 1,KOL,FAS BTX Differentiations,1F6D3CDE,Collin,b084fb9e08ae4e70b4,THERAPY 3,Non KOL,WCT-410400,11,FALSE,e99FT488153,Initiative 1,IJ736847,MED
Digital,Online,Other,21-06-2023,Clinical Program Reactive,FALSE,Initiative 5,Product 3,Product Group 3,Compound 3,Others,FAS BTX Differentiations,6FB19E66,Paul,c34c41277632460591,THERAPY 1,KOL,WCT-410837,20,TRUE,e99FT414290,Initiative 11,IJ728454,COMM
Video Conferencing,In-Person,Proactive,10-03-2025,Practice-Site,FALSE,Initiative 7,Product 2,Product Group 2,Compound 5,KOL,Elite Launch Support,EE0F6384,Glen,0b744ac101e24984b4,THERAPY 2,Non KOL,WCT-410802,9,FALSE,e99FT659804,Initiative 4,IJ323094,MED
Video Conferencing,In-Person,Other,20-03-2025,Off-Site,FALSE,Initiative 8,Product 3,Product Group 2,Compound 2,Others,Study Support,960B1494,Gloria,d2b094b678c144d19c,THERAPY 2,KOL,WCT-410512,12,TRUE,e99FT773451,Initiative 2,IJ293325,MED
Telephone,In-Person,Reactive,13-04-2024,Clinical Program Proactive,FALSE,Initiative 6,Product 2,Product Group 2,Compound 2,Others,Elite Launch Support,DAA8A17E,Bella,cf5a6b4f2fe2450fab,THERAPY 3,NON-KOL,WCT-410773,5,FALSE,e99FT917915,Initiative 2,IJ110971,MED
Video Conferencing,In-Person,Reactive,23-05-2024,Clinical Program Proactive,TRUE,Initiative 5,Product 3,Product Group 1,Compound 5,Others,Portfolio Management,FE838ABD,Edward,373b6e65cea846e690,THERAPY 1,Non KOL,WCT-410999,23,FALSE,e99FT154152,Initiative 12,IJ522097,MED
Video Conferencing,In-Person,Reactive,28-03-2025,Clinical Program Proactive,TRUE,Initiative 9,Product 2,Product Group 1,Compound 4,Others,FAS BTX Differentiations,10DE2039,Bella,24b840201592434e9e,THERAPY 3,NON-KOL,WCT-410985,2,FALSE,e99FT159531,Initiative 10,IJ918290,COMM
Video Conferencing,Mail,Proactive,16-03-2025,Clinical Program Proactive,TRUE,Initiative 2,Product 2,Product Group 3,Compound 3,KOL,FAS BTX Differentiations,4AF3D880,Alyssa,d6c5b498f6784bd3af,THERAPY 2,Non KOL,WCT-410237,25,FALSE,e99FT225230,Initiative 1,IJ497898,COMM
Telephone,Online,Reactive,04-07-2023,Clinical Program Reactive,FALSE,Initiative 7,Product 2,Product Group 1,Compound 3,Others,Study Support,BED74DF2,Meilena,c7eeaa42c95b47f0b0,THERAPY 1,NON-KOL,WCT-410798,13,FALSE,e99FT270804,Initiative 2,IJ416485,MED
Video Conferencing,Call,Reactive,10-03-2025,Clinical Program Reactive,FALSE,Initiative 9,Product 3,Product Group 1,Compound 4,KOL,Study Support,1C75AEEB,Amanda,5513fd182c674bd6a4,THERAPY 1,NON-KOL,WCT-410487,10,FALSE,e99FT370328,Initiative 11,IJ348771,COMM
Face to Face,In-Person,Other,19-11-2024,Clinical Program Proactive,TRUE,Initiative 2,Product 2,Product Group 1,Compound 1,KOL,Portfolio Management,197788AF,Merry,9427b20008ea4713b6,THERAPY 1,KOL,WCT-410296,5,FALSE,e99FT972856,Initiative 1,IJ703552,COMM
Video Conferencing,In-Person,Reactive,17-04-2023,Practice-Site,FALSE,Initiative 5,Product 2,Product Group 3,Compound 5,Others,Study Support,44C457B2,Merry,8a71796298e240a999,THERAPY 2,NON-KOL,WCT-410686,19,FALSE,e99FT493309,Initiative 1,IJ623397,COMM
Digital,Call,Reactive,12-01-2024,Off-Site,TRUE,Initiative 4,Product 3,Product Group 2,Compound 4,KOL,FAS BTX Differentiations,9C305E8B,Collin,22a2ab496ba645a494,THERAPY 2,Non KOL,WCT-410021,12,FALSE,e99FT801116,Initiative 11,IJ821402,MED
Telephone,Online,Reactive,28-06-2023,Off-Site,TRUE,Initiative 11,Product 2,Product Group 3,Compound 3,KOL,Study Support,20EEFB2A,Amanda,7e6cd6dd2fae479baa,THERAPY 1,Non KOL,WCT-410086,22,TRUE,e99FT558467,Initiative 2,IJ892651,COMM
Face to Face,Online,Proactive,10-02-2024,Off-Site,FALSE,Initiative 3,Product 2,Product Group 1,Compound 3,Others,Portfolio Management,2E0F22DA,Bella,31c270f42cc9440994,THERAPY 1,NON-KOL,WCT-410775,16,FALSE,e99FT965788,Initiative 10,IJ324252,COMM
Telephone,Online,Reactive,01-03-2024,Clinical Program Proactive,FALSE,Initiative 3,Product 1,Product Group 2,Compound 3,KOL,Study Support,D24219E3,Morgan,f091da2ad2ef45c0b4,THERAPY 2,KOL,WCT-410463,0,TRUE,e99FT881986,Initiative 1,IJ607941,COMM
Digital,Online,Other,28-05-2024,Off-Site,FALSE,Initiative 5,Product 1,Product Group 3,Compound 3,KOL,Elite Launch Support,382B990E,Alyssa,0ff6d9f60dfe403283,THERAPY 1,Non KOL,WCT-410291,9,TRUE,e99FT428180,Initiative 1,IJ774344,COMM
Face to Face,Call,Reactive,17-12-2023,Off-Site,TRUE,Initiative 6,Product 1,Product Group 3,Compound 2,Others,Study Support,426E715E,Paul,196dbb52c2f340109c,THERAPY 1,NON-KOL,WCT-410381,18,FALSE,e99FT822408,Initiative 8,IJ429285,COMM
Face to Face,Call,Proactive,12-11-2024,Off-Site,TRUE,Initiative 10,Product 1,Product Group 2,Compound 3,Others,FAS BTX Differentiations,5DCC363D,Robin,a64108985680496086,THERAPY 2,KOL,WCT-410669,2,TRUE,e99FT672684,Initiative 2,IJ375505,COMM
Digital,Online,Reactive,17-11-2023,Clinical Program Reactive,TRUE,Initiative 1,Product 3,Product Group 2,Compound 5,KOL,Study Support,CFF96D61,Dimtri,03cf7f3525d64a2f93,THERAPY 2,NON-KOL,WCT-410666,0,TRUE,e99FT743549,Initiative 1,IJ677259,MED
Telephone,Call,Other,05-02-2024,Clinical Program Reactive,TRUE,Initiative 12,Product 3,Product Group 2,Compound 1,Others,FAS BTX Differentiations,C16D59FF,Sanchez,76917b056b914cd8ab,THERAPY 1,Non KOL,WCT-410401,16,FALSE,e99FT675453,Initiative 7,IJ221196,MED
Video Conferencing,Mail,Proactive,10-12-2024,Clinical Program Proactive,FALSE,Initiative 6,Product 1,Product Group 2,Compound 5,Others,Elite Launch Support,5827F40C,Alyssa,6b06414af1974d9bad,THERAPY 1,Non KOL,WCT-410761,23,FALSE,e99FT632759,Initiative 1,IJ394463,COMM
Digital,In-Person,Other,27-12-2023,Clinical Program Reactive,TRUE,Initiative 11,Product 2,Product Group 3,Compound 2,Others,Portfolio Management,0C4F0091,Elvin,21167e6495dd4d9a94,THERAPY 2,NON-KOL,WCT-410121,0,TRUE,e99FT425953,Initiative 7,IJ456119,MED
Video Conferencing,In-Person,Reactive,12-06-2023,Clinical Program Reactive,FALSE,Initiative 12,Product 2,Product Group 3,Compound 1,KOL,FAS BTX Differentiations,CAEE5E8D,Bella,a06fa5ab0bfb4acc95,THERAPY 3,KOL,WCT-410623,21,TRUE,e99FT522115,Initiative 4,IJ754976,COMM
Telephone,Mail,Reactive,14-06-2023,Clinical Program Proactive,FALSE,Initiative 9,Product 2,Product Group 2,Compound 3,Others,Best Clinical Practices,645EABB8,Steve,f1f7deaac8e54029ae,THERAPY 2,Non KOL,WCT-410924,3,FALSE,e99FT255384,Initiative 11,IJ378879,MED
Face to Face,Online,Proactive,20-03-2024,Off-Site,FALSE,Initiative 12,Product 1,Product Group 1,Compound 2,Others,Best Clinical Practices,9B0E355A,Chris,b76db098101d492e8a,THERAPY 3,NON-KOL,WCT-410622,10,TRUE,e99FT853379,Initiative 7,IJ673859,COMM
Digital,Online,Reactive,04-01-2025,Clinical Program Proactive,FALSE,Initiative 5,Product 1,Product Group 1,Compound 1,Others,Study Support,FD21E070,Kren,3b47dad2a0d2401e98,THERAPY 2,Non KOL,WCT-410394,20,FALSE,e99FT451838,Initiative 2,IJ697650,COMM
Telephone,Online,Proactive,02-01-2024,Clinical Program Reactive,FALSE,Initiative 10,Product 3,Product Group 3,Compound 4,Others,Portfolio Management,87EDA2B1,Chris,54f5227063734c3486,THERAPY 3,Non KOL,WCT-410290,16,FALSE,e99FT807321,Initiative 12,IJ962823,COMM
Face to Face,In-Person,Proactive,15-02-2024,Clinical Program Proactive,FALSE,Initiative 7,Product 3,Product Group 3,Compound 3,KOL,FAS BTX Differentiations,D3FD345A,Denver,63b6846b35dc472793,THERAPY 2,NON-KOL,WCT-410278,7,FALSE,e99FT721650,Initiative 12,IJ816558,COMM
Digital,Online,Reactive,04-07-2024,Clinical Program Reactive,TRUE,Initiative 9,Product 3,Product Group 2,Compound 4,KOL,Best Clinical Practices,E8632858,Harry,67da675b7878404492,THERAPY 3,NON-KOL,WCT-410753,11,TRUE,e99FT530985,Initiative 7,IJ715225,COMM
Face to Face,Mail,Other,08-12-2023,Clinical Program Proactive,TRUE,Initiative 9,Product 3,Product Group 3,Compound 3,KOL,Portfolio Management,C06213C7,Jorge,256ad92d8587489881,THERAPY 2,NON-KOL,WCT-410287,24,TRUE,e99FT275226,Initiative 2,IJ450973,COMM
Digital,Call,Other,02-01-2025,Clinical Program Reactive,TRUE,Initiative 7,Product 3,Product Group 3,Compound 2,KOL,FAS BTX Differentiations,2394905C,Edward,1e8e02cae5f149fb94,THERAPY 2,KOL,WCT-410828,2,TRUE,e99FT184281,Initiative 5,IJ544080,MED
Face to Face,Mail,Proactive,15-03-2025,Off-Site,TRUE,Initiative 9,Product 3,Product Group 3,Compound 3,KOL,Best Clinical Practices,B96610CF,Bella,81b65d35fbb74fd3b1,THERAPY 1,KOL,WCT-410810,3,FALSE,e99FT539420,Initiative 5,IJ910760,COMM
Video Conferencing,In-Person,Proactive,06-07-2024,Clinical Program Reactive,FALSE,Initiative 11,Product 2,Product Group 3,Compound 1,KOL,Study Support,223820B7,Merry,ae39f35f1d314750b9,THERAPY 2,KOL,WCT-410745,9,TRUE,e99FT569281,Initiative 10,IJ880537,MED
Face to Face,In-Person,Proactive,16-02-2025,Clinical Program Reactive,FALSE,Initiative 8,Product 2,Product Group 1,Compound 1,KOL,Elite Launch Support,6A22B6AA,Gloria,2e5052d480524b0d80,THERAPY 2,KOL,WCT-410188,0,TRUE,e99FT743160,Initiative 6,IJ932288,MED
Telephone,Online,Proactive,29-02-2024,Clinical Program Proactive,TRUE,Initiative 6,Product 3,Product Group 3,Compound 2,KOL,Best Clinical Practices,0E97AABF,Bella,24ab7382255c4acdb3,THERAPY 3,KOL,WCT-410561,19,FALSE,e99FT566062,Initiative 5,IJ421975,COMM
Face to Face,Call,Other,23-04-2023,Clinical Program Proactive,TRUE,Initiative 11,Product 2,Product Group 3,Compound 1,Others,Best Clinical Practices,814E929C,Amanda,79bc9b25231645a8ab,THERAPY 2,KOL,WCT-410792,4,TRUE,e99FT849106,Initiative 1,IJ205400,MED
Face to Face,Call,Proactive,02-06-2023,Clinical Program Reactive,FALSE,Initiative 4,Product 2,Product Group 3,Compound 2,Others,Study Support,8D286456,Daniella,b0d1b803f0f042bd8a,THERAPY 2,KOL,WCT-410879,9,TRUE,e99FT412987,Initiative 2,IJ183352,COMM
Video Conferencing,Mail,Proactive,01-03-2025,Clinical Program Reactive,TRUE,Initiative 8,Product 3,Product Group 3,Compound 5,KOL,Best Clinical Practices,C9063238,Mathew,819ef7002ac7488786,THERAPY 3,KOL,WCT-410306,11,TRUE,e99FT338494,Initiative 7,IJ498373,MED
Face to Face,In-Person,Proactive,20-01-2025,Off-Site,FALSE,Initiative 4,Product 3,Product Group 2,Compound 2,KOL,Portfolio Management,BCE4DA88,Morgan,bb78ff81976c486882,THERAPY 2,NON-KOL,WCT-410896,17,TRUE,e99FT696832,Initiative 12,IJ838361,COMM
Telephone,Call,Proactive,08-07-2024,Clinical Program Reactive,FALSE,Initiative 7,Product 1,Product Group 1,Compound 1,KOL,Elite Launch Support,4ED5A3B5,Mathew,fbbaa6fa72e1435e93,THERAPY 2,NON-KOL,WCT-410462,13,FALSE,e99FT836565,Initiative 7,IJ277748,MED
Digital,In-Person,Other,05-04-2025,Clinical Program Reactive,FALSE,Initiative 9,Product 2,Product Group 3,Compound 5,Others,Portfolio Management,6F580053,Alyssa,7b55be24426a4612a2,THERAPY 3,KOL,WCT-410386,3,TRUE,e99FT560325,Initiative 6,IJ597012,MED
Face to Face,In-Person,Reactive,21-01-2024,Off-Site,TRUE,Initiative 4,Product 2,Product Group 3,Compound 2,KOL,Portfolio Management,FDE225BC,Amanda,418d88702f924b66a2,THERAPY 3,NON-KOL,WCT-410915,8,TRUE,e99FT517255,Initiative 8,IJ116497,COMM
Video Conferencing,Online,Proactive,02-05-2024,Off-Site,FALSE,Initiative 1,Product 2,Product Group 3,Compound 4,Others,Portfolio Management,36FDBE82,Shane,83846575769a425e96,THERAPY 2,NON-KOL,WCT-410871,13,TRUE,e99FT171009,Initiative 9,IJ693218,COMM
Video Conferencing,Call,Proactive,09-07-2023,Clinical Program Proactive,FALSE,Initiative 6,Product 2,Product Group 1,Compound 3,KOL,Study Support,212E6527,Dimtri,5b4fcfe17c9a44f3ba,THERAPY 1,Non KOL,WCT-410664,4,FALSE,e99FT529506,Initiative 6,IJ921459,COMM
Face to Face,Mail,Other,03-07-2024,Practice-Site,TRUE,Initiative 2,Product 2,Product Group 1,Compound 5,KOL,Best Clinical Practices,DAEFAB71,Denver,dceae24b14ec4c07a0,THERAPY 3,KOL,WCT-410136,22,TRUE,e99FT605787,Initiative 12,IJ585113,COMM
Face to Face,Call,Proactive,07-12-2023,Clinical Program Reactive,FALSE,Initiative 12,Product 2,Product Group 2,Compound 2,KOL,Portfolio Management,D7B18C94,Harry,c436bc3893f24400bd,THERAPY 3,KOL,WCT-410681,16,TRUE,e99FT544603,Initiative 5,IJ690753,MED
Telephone,Call,Proactive,09-01-2024,Clinical Program Reactive,FALSE,Initiative 12,Product 2,Product Group 3,Compound 5,Others,FAS BTX Differentiations,10A60482,Paul,007dc7a2569a4c9b83,THERAPY 1,Non KOL,WCT-410652,16,FALSE,e99FT299062,Initiative 8,IJ299099,COMM
Face to Face,Mail,Other,23-05-2023,Clinical Program Proactive,TRUE,Initiative 11,Product 3,Product Group 1,Compound 4,Others,Study Support,94E2AFD1,Amanda,96154bb992f44241ba,THERAPY 2,KOL,WCT-410833,18,FALSE,e99FT592602,Initiative 8,IJ119733,MED
Video Conferencing,Mail,Reactive,23-11-2023,Clinical Program Proactive,TRUE,Initiative 12,Product 2,Product Group 3,Compound 3,Others,Elite Launch Support,4C307461,Meilena,067deda134d2458287,THERAPY 2,KOL,WCT-410295,16,TRUE,e99FT319012,Initiative 9,IJ938672,COMM
Telephone,Online,Other,31-01-2024,Off-Site,TRUE,Initiative 10,Product 3,Product Group 3,Compound 5,Others,FAS BTX Differentiations,54423E9F,Glen,1c6dc36f162840ac8e,THERAPY 3,KOL,WCT-410878,17,TRUE,e99FT745330,Initiative 2,IJ519930,MED
Face to Face,Online,Proactive,14-10-2024,Off-Site,FALSE,Initiative 11,Product 3,Product Group 1,Compound 2,Others,Best Clinical Practices,7C0878E3,Kevin,7cd48471dc3643688b,THERAPY 1,NON-KOL,WCT-410149,5,TRUE,e99FT798193,Initiative 10,IJ183830,MED
Telephone,In-Person,Other,24-08-2023,Clinical Program Reactive,FALSE,Initiative 11,Product 2,Product Group 3,Compound 3,Others,Best Clinical Practices,3C724361,Amanda,dd9990559ca241608e,THERAPY 2,KOL,WCT-410659,25,FALSE,e99FT551979,Initiative 1,IJ354792,MED
Telephone,Call,Reactive,14-06-2023,Practice-Site,FALSE,Initiative 2,Product 3,Product Group 2,Compound 5,Others,Elite Launch Support,80224961,Daniella,429695c909184b7d88,THERAPY 3,KOL,WCT-410132,24,TRUE,e99FT161934,Initiative 9,IJ139494,COMM
Face to Face,Online,Other,20-01-2024,Practice-Site,FALSE,Initiative 10,Product 3,Product Group 2,Compound 3,Others,Study Support,091B2462,Kren,abbcc56a4e004316be,THERAPY 1,Non KOL,WCT-410378,0,FALSE,e99FT359556,Initiative 1,IJ139651,COMM
Digital,Online,Proactive,26-11-2024,Clinical Program Reactive,FALSE,Initiative 8,Product 1,Product Group 2,Compound 4,KOL,Portfolio Management,4DA6D7C0,Jorge,379fb509a63a406388,THERAPY 2,Non KOL,WCT-410833,4,TRUE,e99FT763196,Initiative 12,IJ965100,COMM
Face to Face,Online,Other,11-12-2023,Practice-Site,TRUE,Initiative 6,Product 2,Product Group 1,Compound 4,KOL,FAS BTX Differentiations,1AC79890,Sanchez,f4a6ac5b9fc9478a89,THERAPY 3,NON-KOL,WCT-410831,17,FALSE,e99FT775861,Initiative 4,IJ478527,MED
Digital,Call,Other,24-02-2024,Practice-Site,FALSE,Initiative 10,Product 3,Product Group 2,Compound 3,KOL,FAS BTX Differentiations,1C874384,Kren,1c366e3547394ad399,THERAPY 3,KOL,WCT-410415,4,TRUE,e99FT962879,Initiative 1,IJ257742,MED
Digital,In-Person,Proactive,20-08-2024,Clinical Program Reactive,FALSE,Initiative 4,Product 2,Product Group 1,Compound 4,Others,FAS BTX Differentiations,20E51352,Alyssa,68e482eab2f9458e87,THERAPY 3,KOL,WCT-410497,1,TRUE,e99FT297964,Initiative 5,IJ985718,MED
Face to Face,Mail,Proactive,17-10-2024,Practice-Site,FALSE,Initiative 12,Product 3,Product Group 2,Compound 4,Others,Elite Launch Support,79BE6A70,Daniella,98aefb15c3024dd2a7,THERAPY 3,KOL,WCT-410057,18,FALSE,e99FT147571,Initiative 1,IJ433863,COMM
Face to Face,Call,Proactive,31-03-2024,Clinical Program Reactive,TRUE,Initiative 7,Product 1,Product Group 2,Compound 1,Others,Portfolio Management,CBA8139A,Merry,ba1fcfee1830474598,THERAPY 1,KOL,WCT-410500,23,TRUE,e99FT668656,Initiative 12,IJ874919,MED
Telephone,Call,Other,18-04-2024,Off-Site,TRUE,Initiative 11,Product 1,Product Group 2,Compound 2,KOL,FAS BTX Differentiations,10AE9F08,Steve,10ae1f3dd04842c0ac,THERAPY 3,KOL,WCT-410961,9,TRUE,e99FT635493,Initiative 10,IJ504109,MED
Digital,Online,Reactive,03-02-2024,Off-Site,TRUE,Initiative 12,Product 2,Product Group 3,Compound 5,KOL,Elite Launch Support,8E5D0498,Morgan,bb55524abaab45fb97,THERAPY 2,NON-KOL,WCT-410797,4,FALSE,e99FT440933,Initiative 6,IJ392499,COMM
Face to Face,Mail,Reactive,21-01-2025,Clinical Program Proactive,TRUE,Initiative 2,Product 1,Product Group 3,Compound 3,KOL,Study Support,BB75D41B,Paul,068a777bc243474182,THERAPY 2,NON-KOL,WCT-410294,20,TRUE,e99FT704431,Initiative 7,IJ632731,MED
Telephone,In-Person,Proactive,11-02-2024,Practice-Site,FALSE,Initiative 8,Product 3,Product Group 1,Compound 2,Others,Best Clinical Practices,26CCFF24,Mathew,34ddf527dc1148fd80,THERAPY 1,Non KOL,WCT-410411,25,TRUE,e99FT785251,Initiative 4,IJ153524,MED
Telephone,In-Person,Proactive,19-01-2025,Off-Site,FALSE,Initiative 4,Product 3,Product Group 1,Compound 2,Others,FAS BTX Differentiations,764571A0,Paul,f37af70fd45746578f,THERAPY 1,Non KOL,WCT-410077,5,TRUE,e99FT925748,Initiative 6,IJ202098,MED
Telephone,Online,Other,04-08-2023,Clinical Program Proactive,TRUE,Initiative 10,Product 1,Product Group 1,Compound 2,Others,Elite Launch Support,EEE90F24,Kevin,2d89e9df97e14a339f,THERAPY 1,KOL,WCT-410623,0,TRUE,e99FT466226,Initiative 1,IJ808357,COMM
Face to Face,Online,Reactive,09-11-2023,Off-Site,TRUE,Initiative 10,Product 1,Product Group 3,Compound 5,Others,Portfolio Management,C007D1A3,Gloria,4f2d37082c5843df9b,THERAPY 2,NON-KOL,WCT-410338,2,FALSE,e99FT632271,Initiative 4,IJ734968,COMM
Telephone,Mail,Proactive,02-12-2023,Practice-Site,TRUE,Initiative 3,Product 1,Product Group 3,Compound 4,Others,FAS BTX Differentiations,302BB1A8,Sanchez,aef3cf0671df460db3,THERAPY 2,Non KOL,WCT-410244,24,FALSE,e99FT157286,Initiative 8,IJ452629,MED
Telephone,In-Person,Proactive,18-01-2025,Clinical Program Reactive,TRUE,Initiative 8,Product 1,Product Group 1,Compound 2,KOL,Elite Launch Support,3F2F021D,Gloria,9318d95a54db49c5a1,THERAPY 1,Non KOL,WCT-410393,22,TRUE,e99FT829437,Initiative 9,IJ711796,COMM
Telephone,Mail,Proactive,07-12-2023,Clinical Program Reactive,TRUE,Initiative 2,Product 3,Product Group 1,Compound 2,Others,Elite Launch Support,3B8EFC18,Alyssa,eddf0a419ee941d7b3,THERAPY 2,KOL,WCT-410380,7,TRUE,e99FT999009,Initiative 8,IJ469126,MED
Face to Face,In-Person,Proactive,07-09-2024,Off-Site,TRUE,Initiative 9,Product 1,Product Group 1,Compound 3,Others,Best Clinical Practices,75F83944,Glen,10df581fe713456885,THERAPY 1,NON-KOL,WCT-410979,21,FALSE,e99FT682044,Initiative 9,IJ511111,COMM
Digital,In-Person,Proactive,14-07-2024,Off-Site,TRUE,Initiative 4,Product 2,Product Group 1,Compound 2,Others,FAS BTX Differentiations,B228A96C,Chris,18454789ef294379b7,THERAPY 2,Non KOL,WCT-410754,20,TRUE,e99FT704069,Initiative 8,IJ792971,MED
Digital,Call,Reactive,28-02-2024,Clinical Program Proactive,TRUE,Initiative 3,Product 2,Product Group 2,Compound 5,KOL,Study Support,4D0597E2,Morgan,9aa7b81f3eed4fd99f,THERAPY 2,KOL,WCT-410772,9,TRUE,e99FT918334,Initiative 9,IJ926012,COMM
Telephone,In-Person,Other,28-02-2024,Practice-Site,FALSE,Initiative 7,Product 2,Product Group 3,Compound 2,KOL,Portfolio Management,2FBBB8D8,Merry,a93b91a6dbb1443c9b,THERAPY 1,NON-KOL,WCT-410763,17,FALSE,e99FT303713,Initiative 9,IJ358780,MED
Telephone,Online,Reactive,09-11-2023,Off-Site,FALSE,Initiative 8,Product 2,Product Group 3,Compound 3,Others,Elite Launch Support,B6DF3E28,Mathew,5cb4ad17d5224d5b88,THERAPY 2,Non KOL,WCT-410947,6,FALSE,e99FT550366,Initiative 11,IJ298238,COMM
Telephone,Online,Reactive,24-05-2023,Clinical Program Reactive,TRUE,Initiative 11,Product 3,Product Group 3,Compound 2,Others,Elite Launch Support,114ECB84,Mathew,ed022b89a5b44a5dab,THERAPY 3,NON-KOL,WCT-410943,15,TRUE,e99FT637385,Initiative 11,IJ676749,MED
Video Conferencing,Mail,Reactive,15-02-2024,Practice-Site,FALSE,Initiative 5,Product 1,Product Group 1,Compound 2,Others,Study Support,4AAE4F1F,Sanchez,34f4f8665d874d0f8e,THERAPY 1,NON-KOL,WCT-410318,0,FALSE,e99FT532611,Initiative 1,IJ955012,MED
Video Conferencing,Mail,Reactive,25-01-2024,Clinical Program Proactive,TRUE,Initiative 10,Product 1,Product Group 1,Compound 1,KOL,Portfolio Management,0018A18F,Morgan,d6578bd1b08a4096af,THERAPY 3,KOL,WCT-410934,23,TRUE,e99FT521057,Initiative 6,IJ477492,MED
Digital,Online,Reactive,11-12-2023,Clinical Program Reactive,TRUE,Initiative 7,Product 3,Product Group 1,Compound 3,Others,Study Support,F36E8074,Meilena,812cbcb97e044aa3ae,THERAPY 1,NON-KOL,WCT-410413,0,TRUE,e99FT325199,Initiative 6,IJ422779,MED
Face to Face,In-Person,Reactive,21-06-2023,Clinical Program Reactive,FALSE,Initiative 7,Product 3,Product Group 2,Compound 5,Others,FAS BTX Differentiations,0E1CC285,Sanchez,e97e9bd597724f6cb0,THERAPY 1,KOL,WCT-410723,7,FALSE,e99FT473691,Initiative 10,IJ179579,MED
Telephone,Call,Proactive,09-07-2024,Off-Site,FALSE,Initiative 12,Product 2,Product Group 3,Compound 4,Others,Study Support,7A0A4853,Merry,b769e8c9311f4fb2bb,THERAPY 3,KOL,WCT-410955,4,FALSE,e99FT317458,Initiative 5,IJ203751,COMM
Digital,Online,Proactive,10-09-2024,Off-Site,TRUE,Initiative 6,Product 3,Product Group 3,Compound 3,KOL,Study Support,CB9333C9,Alyssa,1b171a2fd0e34111ac,THERAPY 3,NON-KOL,WCT-410302,14,FALSE,e99FT964423,Initiative 6,IJ976534,COMM
Video Conferencing,In-Person,Proactive,01-05-2024,Clinical Program Proactive,TRUE,Initiative 8,Product 3,Product Group 3,Compound 3,Others,Portfolio Management,7A78113F,Merry,1e52cf66099048abbb,THERAPY 1,KOL,WCT-410395,16,TRUE,e99FT826832,Initiative 1,IJ706376,COMM
Digital,Mail,Reactive,24-09-2023,Practice-Site,FALSE,Initiative 5,Product 2,Product Group 1,Compound 5,KOL,FAS BTX Differentiations,F2ACCECD,Alyssa,6c003baa4a6947339b,THERAPY 3,NON-KOL,WCT-410021,0,FALSE,e99FT254919,Initiative 12,IJ212696,COMM
Digital,Call,Reactive,01-05-2024,Clinical Program Reactive,FALSE,Initiative 2,Product 2,Product Group 3,Compound 3,KOL,Portfolio Management,4D4397CF,Denver,2914f3bb570e4149b8,THERAPY 1,Non KOL,WCT-410196,16,TRUE,e99FT125867,Initiative 8,IJ307772,MED
Digital,Online,Proactive,01-04-2025,Clinical Program Reactive,TRUE,Initiative 2,Product 1,Product Group 2,Compound 5,KOL,Portfolio Management,0800F977,Kevin,c1b1eaf5bfca4353a2,THERAPY 2,KOL,WCT-410601,23,TRUE,e99FT443215,Initiative 11,IJ758857,MED
Video Conferencing,Online,Proactive,08-01-2024,Clinical Program Proactive,TRUE,Initiative 10,Product 1,Product Group 2,Compound 2,KOL,Elite Launch Support,38A6A734,Denver,74d077f31bd44dfda8,THERAPY 3,NON-KOL,WCT-410306,4,FALSE,e99FT357473,Initiative 3,IJ673157,MED
